rk,team_eng,team_3,league,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS,IBB,HBP,SAC,SF,TB,XBH,GDP,GO,AO,GO_AO,NP,PA,month,team,month_aft
1,New York Mets,nym,NL,2,66,15,23,5,0,2,14,14,13,1,0,0.348,0.47,0.515,0.985,1,2,1,1,34,7,3,18,17,1.06,310,84,201803,뉴욕M,201804
2,Pittsburgh Pirates,pit,NL,1,52,13,17,3,1,1,11,4,10,1,2,0.327,0.368,0.481,0.8490000000000001,0,0,0,1,25,5,0,6,20,0.3,214,58,201803,피츠버그,201804
3,Atlanta Braves,atl,NL,3,114,27,37,8,1,4,25,14,20,0,1,0.325,0.406,0.518,0.924,2,3,4,2,59,13,1,35,29,1.21,503,137,201803,애틀랜타,201804
4,Chicago White Sox,cws,AL,2,73,18,22,4,0,7,18,10,15,1,0,0.301,0.393,0.644,1.037,0,1,0,0,47,11,2,16,22,0.73,334,84,201803,시카고화이트삭스,201804
5,Washington Nationals,was,NL,2,70,15,20,3,0,4,15,8,14,1,1,0.28600000000000003,0.354,0.5,0.8540000000000001,1,1,0,3,35,7,0,16,23,0.7,331,82,201803,워싱턴,201804
6,Milwaukee Brewers,mil,NL,3,118,17,33,9,0,1,17,9,22,5,1,0.28,0.333,0.381,0.715,1,1,1,1,45,10,4,40,29,1.38,469,130,201803,밀워키,201804
7,Detroit Tigers,det,AL,1,53,10,14,7,0,0,9,9,9,0,0,0.264,0.371,0.396,0.767,0,0,0,0,21,7,1,9,22,0.41,251,62,201803,디트로이트,201804
8,Los Angeles Angels,ana,AL,3,119,15,31,8,2,4,14,2,20,1,0,0.261,0.279,0.462,0.741,0,1,0,0,55,14,1,31,38,0.82,433,122,201803,LA에인절스,201804
9,Cincinnati Reds,cin,NL,2,73,7,19,2,0,3,7,4,25,1,0,0.26,0.295,0.411,0.706,0,0,0,1,30,5,0,17,13,1.31,300,78,201803,신시내티,201804
10,Arizona Diamondbacks,ari,NL,3,97,18,25,4,2,1,18,16,28,3,0,0.258,0.368,0.371,0.74,0,1,0,0,36,7,2,25,21,1.19,464,114,201803,애리조나,201804
11,Seattle Mariners,sea,AL,2,64,7,16,2,0,3,7,2,16,0,0,0.25,0.273,0.422,0.695,1,0,0,0,27,5,2,18,16,1.13,212,66,201803,시애틀M,201804
12,Oakland Athletics,oak,AL,3,109,10,27,6,1,2,10,11,28,0,0,0.248,0.328,0.376,0.7040000000000001,1,2,0,0,41,9,2,27,29,0.93,502,122,201803,오클랜드,201804
13,Houston Astros,hou,AL,3,101,14,25,8,0,4,14,15,28,0,0,0.248,0.339,0.446,0.785,0,0,0,2,45,12,5,28,27,1.04,466,118,201803,휴스턴,201804
14,Colorado Rockies,col,NL,3,102,12,25,2,0,7,12,7,34,2,0,0.245,0.294,0.471,0.764,0,0,1,0,48,9,4,27,21,1.29,447,110,201803,콜로라도,201804
15,Minnesota Twins,min,AL,2,74,8,17,3,0,3,7,7,20,2,0,0.23,0.29600000000000004,0.392,0.688,0,0,0,0,29,6,3,23,17,1.35,304,81,201803,미네소타,201804
16,Miami Marlins,mia,NL,3,131,12,30,2,1,1,12,17,28,0,2,0.229,0.336,0.282,0.618,0,4,0,0,37,4,5,49,29,1.69,594,152,201803,마이애미,201804
17,New York Yankees,nyy,AL,3,101,13,23,9,1,5,13,10,19,0,0,0.228,0.297,0.485,0.782,0,0,0,0,49,15,5,33,31,1.06,417,111,201803,뉴욕Y,201804
18,Boston Red Sox,bos,AL,3,98,8,22,10,0,2,7,10,17,1,1,0.224,0.29600000000000004,0.388,0.684,0,0,0,0,38,12,2,29,32,0.91,418,108,201803,보스턴,201804
19,San Diego Padres,sd,NL,3,107,10,24,4,1,3,10,11,30,1,1,0.224,0.303,0.364,0.667,1,1,0,0,39,8,4,31,26,1.19,476,119,201803,샌디에고,201804
20,Chicago Cubs,chc,NL,3,134,19,30,10,0,5,18,18,41,1,0,0.224,0.331,0.41,0.742,3,4,1,1,55,15,3,34,34,1.0,607,159,201803,시카고컵스,201804
20,Kansas City Royals,kc,AL,2,67,10,15,3,1,1,9,7,7,1,0,0.224,0.312,0.343,0.655,0,2,0,1,23,5,1,22,25,0.88,301,77,201803,캔자스시티,201804
22,Texas Rangers,tex,AL,3,94,9,21,5,0,2,8,8,28,0,0,0.223,0.28600000000000003,0.34,0.626,0,1,0,2,32,7,3,26,24,1.08,421,105,201803,텍사스,201804
23,Philadelphia Phillies,phi,NL,3,102,12,22,7,0,3,12,15,30,4,1,0.21600000000000005,0.317,0.373,0.6890000000000001,0,1,1,2,38,10,3,24,32,0.75,525,122,201803,필라델피아,201804
24,St. Louis Cardinals,stl,NL,2,67,6,13,1,0,3,6,4,27,0,0,0.194,0.239,0.343,0.583,0,0,0,0,23,4,0,11,16,0.69,304,71,201803,세인트루이스,201804
25,San Francisco Giants,sf,NL,3,99,2,19,3,0,2,2,5,27,1,0,0.192,0.231,0.28300000000000003,0.514,0,0,1,0,28,5,3,35,22,1.59,379,105,201803,샌프란시스코,201804
26,Tampa Bay Rays,tb,AL,3,91,8,16,2,1,1,8,11,27,1,0,0.17600000000000002,0.262,0.253,0.515,0,0,0,1,23,4,1,16,34,0.47,411,103,201803,탬파베이,201804
27,Cleveland Indians,cle,AL,2,63,7,11,2,0,2,7,6,16,2,0,0.175,0.268,0.302,0.569,0,2,0,0,19,4,2,15,23,0.65,292,72,201803,클리블랜드,201804
28,Toronto Blue Jays,tor,AL,3,93,8,16,6,0,3,7,8,33,5,1,0.172,0.238,0.333,0.5710000000000001,0,0,0,0,31,9,1,24,21,1.14,399,101,201803,토론토,201804
29,Los Angeles Dodgers,la,NL,3,84,5,11,1,1,0,3,8,23,2,0,0.131,0.202,0.16699999999999998,0.369,0,0,0,2,14,2,5,28,29,0.97,390,94,201803,LA다저스,201804
30,Baltimore Orioles,bal,AL,2,64,5,8,2,1,2,5,12,24,1,0,0.125,0.263,0.281,0.544,2,0,1,0,18,5,1,15,19,0.79,310,77,201803,볼티모어,201804
1,Boston Red Sox,bos,AL,25,892,151,248,64,3,30,143,83,197,16,3,0.278,0.344,0.457,0.802,5,13,1,11,408,97,17,234,242,0.97,3861,1000,201804,보스턴,201805
